"","Area","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"27","Belize",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,19,1685,112,131,1395,465,56,1206,1206,994,1790,1801,1901,1901,1901,1901,1901,-552,1471,2267,2982,1557,1738,3639,2457.85,2217.36
"28","Benin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,-21,0,7,7,7,2,11,11,4,4,5,434,440,433,433,433,431,432,432,431,431,431,431,431,954
"29","Bhutan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,487,487,487,487,487,487,487,487,487,496,496,496,496,500,500,500,500,499,515,437,437,437,437,437,437,510
"30","Bolivia (Plurinational State of)",400,400,400,400,400,400,400,400,400,400,400,500,600,600,600,600,600,600,600,600,600,600,600,0,0,0,0,0,0,0,0,1894,1100,2700,7600,2700,3200,1700,1400,1600,1600,0,0,0,0,0,0,-755,416,-840,-482,840,3477,5131,9031,15723,16670,19492,26329,42246,40088.49,39440
"31","Bosnia and Herzegovina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,184,51,51,51,125,1891,1917,1917,1917,1917,21917,51545,53627,53627,44136,69001,78355,92516,114010,112000,117515,117940,124100,87923,109483,120302,105490,118370,118630,130541
"32","Botswana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,56,8,39,8,7.3,9,2,1,1,12,6,1.6,-11
"33","Brazil",328800,377500,447500,501700,560100,645400,682400,760000,782300,855900,918500,1012000,1144700,1323400,1174000,1342900,1655400,1834500,1754400,2567200,2367200,2843900,1878500,2359300,1950600,2248700,3150600,3041800,3490800,3376700,3461400,3676170,3568819,3879891,4136195,4295900,4225700,4339168,4441200,4770203,4424615,5009724,4973320,5037858,5262532,5345166,5800041,5977280,5448418,6205060,5843296,5889280,6140024,6279301,6311991,6305814,6617524,6744499,5098721,5312938,6982090.15,6035811
"34","British Virgin Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","Brunei Darussalam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,48,48,53,5,5,0,22,24,24,22,13,13,13,13,13,37,39,22,85,24,-1,95,95,95,45,-4,-24,-26,-13.84,-13.84
"36","Bulgaria",34300,44000,54200,73200,82900,88000,1e+05,183500,167400,181400,206900,198200,220700,303200,309200,343200,332200,360200,360100,406400,407900,397100,418800,406000,384600,367200,365200,373400,334500,222800,208800,82738,84200,76700,102300,101700,70900,70900,44150,49150,53150,55150,55150,93180,94644,102725,105215,82458,140857,48198,50987,74567,63108,49113,64647,62523,142440,139484,136678,155772,123857,123413
"37","Burkina Faso",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,12,12,12,4,4,4,4,4,4,90,90,90,90,90,90,41,-7,33,33,11,32,37,47,47,37,47,78.37,46.6
"38","Burundi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,148,0,0,0,0,46,240,240,240,113,137,137,137,137,56,56,33,33,33,36,36,-50,-50,-50,-50
"39","Cabo Verde",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,8,8,6,6,6,9,9,9,9,9,9
